SampleID	k_Archaea.p_Euryarchaeota.c_Methanomicrobia	k_Archaea.p_Euryarchaeota.c_Thermococci	k_Archaea.p_Euryarchaeota.c_unassigned	k_Archaea.p_unassigned.c_unassigned	k_Bacteria.p_Acidobacteria.c_Acidobacteria_Gp1	k_Bacteria.p_Acidobacteria.c_Holophagae	k_Bacteria.p_Actinobacteria.c_Actinobacteria	k_Bacteria.p_Bacteroidetes.c_Bacteroidia	k_Bacteria.p_Bacteroidetes.c_Flavobacteria	k_Bacteria.p_Bacteroidetes.c_Sphingobacteria	k_Bacteria.p_Bacteroidetes.c_unassigned	k_Bacteria.p_DeinococcusThermus.c_Deinococci	k_Bacteria.p_Firmicutes.c_Bacilli	k_Bacteria.p_Firmicutes.c_Clostridia	k_Bacteria.p_Firmicutes.c_Erysipelotrichia	k_Bacteria.p_Firmicutes.c_Negativicutes	k_Bacteria.p_Firmicutes.c_unassigned	k_Bacteria.p_Fusobacteria.c_Fusobacteria	k_Bacteria.p_Lentisphaerae.c_Lentisphaeria	k_Bacteria.p_Planctomycetes.c_Planctomycetacia	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria	k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria	k_Bacteria.p_Proteobacteria.c_Epsilonproteobacteria	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria	k_Bacteria.p_Proteobacteria.c_unassigned	k_Bacteria.p_Spirochaetes.c_Spirochaetes	k_Bacteria.p_Synergistetes.c_Synergistia	k_Bacteria.p_TM7.c_Incertae_sedis	k_Bacteria.p_Tenericutes.c_Mollicutes	k_Bacteria.p_Verrucomicrobia.c_Verrucomicrobiae	k_Bacteria.p_unassigned.c_unassigned	k_unassigned.p_unassigned.c_unassigned
F0445	0	0	0	0	0	0	0.72	2.5	0	0	0	0	13.66	74	1.38	0.08	7.28	0	0	0	0	0.04	0	0	0.04	0	0	0.02	0	0	0.02	0.26	0
H0487	0	0	0	0	0	0	0.36	17.18	0	0	0	0	34.76	41.1	0.5	0.72	0.06	0	0	0	0	0	0.06	0	0.06	0	0	0	0	0	0.02	5.18	0
H0505	0	0	0	0	0	0	2.12	49.94	0	0	0.2	0	7.04	33.16	0.16	0.78	0.06	0.06	0	0	0.02	0.8	1	0	3.32	0	0	0	0	0	0	1.34	0
H0523	0	0	0	0	0	0	0.6	25.14	0	0	0	0	10.86	55.52	5.5	1.64	0	0	0	0	0.02	0.14	0.02	0	0.1	0	0	0	0	0	0	0.46	0
H0528	0	0	0	0	0	0	1.42	15.32	0	0	0	0	29.6	49.52	0.68	2.58	0.14	0	0	0	0	0.44	0.2	0	0	0	0	0	0	0	0.04	0.06	0
H0571	0	0	0	0	0	0	2.06	62.12	0	0	0	0	1.36	26.84	1.08	4.04	0	0	0	0	0	0	0	0.02	2.44	0	0	0.04	0	0	0	0	0
H0577	0	0	0	0	0	0	2.44	7.18	0	0	0	0	8.28	80.64	0.94	0.44	0.04	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0
H0587	0	0	0	0	0	0	1.44	27.68	0	0	0	0	14.24	51.14	1.38	1.68	0	0	0	0	0	2.34	0.04	0	0	0	0	0	0	0	0	0.06	0
H0601	0	0	0	0	0	0	0.32	37.7	0	0	0	0	9.12	50.84	0.08	1.24	0	0	0	0	0	0.64	0.06	0	0	0	0	0	0	0	0	0	0
H0613	0	0	0	0	0	0	1.28	4.08	0	0	0.32	0	7.42	69.76	15.34	1.4	0	0	0	0	0	0.24	0.04	0	0.04	0	0	0	0	0	0.04	0.04	0
H0617	0	0	0	0	0	0	0.12	29.08	0	0	0	0	2.1	63.46	2.58	0.06	0	0	0	0	0	2.52	0	0	0	0.08	0	0	0	0	0	0	0
H0618	0	0	0	0	0	0	3.52	3.38	0	0	0	0	14.64	67.34	1.94	9	0	0.02	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0
H0622	0	0	0	0	0	0	3.62	3.44	0	0	0	0	10.84	77.7	0.92	3.42	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.04	0	0
H0624	0	0	0	0	0	0	7.84	0.82	0	0	0	0	25.06	53.88	12.28	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0
H0627	0	0	0	0	0	0	1.08	7.26	0	0	0	0	10.38	65	12.46	0.8	0.32	0	0	0	0	0.06	0.04	0	0.06	0.02	0	0	0	0	0.02	2.5	0
H0638	0	0	0	0	0	0	0.7	49.4	0	0	0	0	1.62	36.56	4.74	0.5	4.86	0	0	0	0	0.08	0.04	0	1.26	0	0	0	0	0	0	0.24	0
H0647	0	0	0	0	0	0	3.28	8.22	0	0	0.16	0	11.54	69.86	2.68	3.82	0.08	0	0	0	0.02	0.24	0.08	0	0	0	0	0	0.02	0	0	0	0
H0656	0	0	0	0	0	0	3.32	32.04	0	0	0	0	7.1	41.98	3.88	4.22	0.28	0	0	0	3.72	2.46	0	0	0.1	0	0	0	0	0	0	0.9	0
H0658	0	0	0	0	0	0	2.46	25.74	0	0	0	0	8.6	60.34	1.66	0.74	0	0	0	0	0	0.32	0.02	0	0.12	0	0	0	0	0	0	0	0
H0659	0	0	0	0	0	0	0.46	21.24	0	0	0	0	1.86	62.06	8.56	0.9	4.02	0	0	0	0.12	0.22	0.08	0	0.04	0	0	0	0	0	0	0.44	0
H0661	0	0	0	0	0	0	2.26	17.72	0	0	0	0	5.96	67.18	3.82	0.76	0.24	0	0	0	0	0.3	0.16	0	0.04	0	0	0	0	0	0	1.56	0
H0664	0	0	0	0	0	0	1.32	23.42	0	0	0	0	5.86	62.16	4.42	1.96	0	0	0	0	0	0.02	0.08	0	0.02	0	0	0	0	0	0	0.74	0
H0667	0	0	0	0	0	0	2.48	30.74	0	0	0	0	0.76	54.48	7.62	1.5	0.02	0	0	0	0.26	1.7	0.06	0	0.02	0	0	0	0	0	0	0.36	0
H0668	0	0	0	0	0	0	1.28	11.28	0	0	0	0	3.28	75.6	1.9	4.08	1.8	0	0	0	0.04	0.06	0.06	0	0.26	0	0	0	0	0	0	0.36	0
H0680	0	0	0	0	0	0	1	35.12	0	0	0	0	0.72	49.42	10.86	0.98	0	0	0	0	0.26	1.04	0.02	0	0	0	0	0	0	0	0	0.58	0
H0681	0	0	0	0	0	0	2.84	17.5	0	0	0	0	5.16	61.42	5.06	0.7	6.3	0	0	0	0.12	0.1	0	0	0.48	0	0	0	0	0	0	0.32	0
H0682	0	0	0	0	0	0	0.76	19	0	0	0	0	0.34	73.42	5.08	0.86	0	0.02	0	0	0.04	0.3	0.06	0	0	0	0	0	0	0	0	0.12	0
H0684	0	0	0	0	0	0	2.16	48.6	0	0	0.1	0	4.66	38.92	2.48	1.82	0.04	0	0	0	0.02	0.94	0	0	0	0	0	0	0	0	0	0.26	0
H0689	0	0	0	0	0	0	1.16	26.16	0	0	0	0	5.24	55.8	3.92	1.2	5.72	0	0	0	0.02	0.16	0.1	0	0.34	0	0	0	0	0	0	0.18	0
H0693	0	0	0	0	0	0	2.08	27.1	0	0	0	0	6.58	49.72	7.36	1.32	4.76	0	0	0	0.06	0.18	0.02	0	0.72	0	0	0	0	0	0	0.1	0
H0694	0	0	0	0	0	0	1.14	47.12	0	0	0.06	0	7.8	33.28	4.9	3.48	0.16	0	0	0	0.02	1.44	0	0	0.2	0	0	0	0	0	0	0.4	0
H0700	0	0	0	0	0	0	5.44	10.2	0	0	0.04	0	27.26	53.6	2.64	0.08	0.42	0.02	0	0	0.08	0.02	0.1	0	0.02	0	0	0	0	0	0	0.08	0
H0705	0	0	0	0	0	0	0.96	5.26	0	0	0	0	62.24	27.96	0.76	2.42	0.04	0.02	0	0	0	0	0	0	0.32	0	0	0.02	0	0	0	0	0
H0709	0	0	0	0	0	0	0.3	37.84	0	0	0	0	3.3	50.26	5.34	1	0.42	0	0	0	0	0.7	0.06	0	0.44	0	0	0	0	0	0	0.34	0
H0716	0	0	0	0	0	0	1.82	15.34	0	0	0	0	28.28	44.92	1	2.92	0	0.04	0	0	0	0	0	0	5.68	0	0	0	0	0	0	0	0
H0735	0	0	0	0	0	0	1	21.4	0	0	0.14	0	3.32	65.4	4.06	1.66	0.14	0	0	0	0.08	0.1	0.14	0	0.06	0	0	0	0	0	0	2.5	0
H0736	0	0	0	0	0	0	7.12	33.32	0	0	0.08	0	1.08	47.84	8.14	1.42	0.22	0	0	0	0.12	0.42	0	0	0.02	0	0	0	0	0	0.02	0.2	0
H0738	0	0	0	0	0	0	0.94	38.08	0	0	0.02	0	15.7	41.2	0.66	1.36	0	0	0	0	0	1.9	0.08	0	0.06	0	0	0	0	0	0	0	0
H0742	0	0	0	0	0	0	1.98	2.44	0	0	0	0	21.66	62.72	6.38	0.76	0.18	1.48	0	0	0	0.02	0.02	0	1.66	0	0	0	0	0	0	0.7	0
H0757	0	0	0	0	0	0	1.4	18.28	0	0	0.1	0	3.42	74.26	0.74	0.3	0.02	0	0	0	0	0	0.02	0	0.7	0	0	0	0	0	0	0.76	0
H0762	0	0	0	0	0	0	1.22	8.84	0	0	0.12	0	1.48	85.48	1.58	0.28	0.02	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0.9	0
H0768	0	0	0	0	0	0	0.48	9.32	0	0	0.98	0	3.56	78.9	4.72	0.4	0.06	0	0	0	0	0	0	0	1.18	0	0	0	0.02	0	0	0.38	0
H0775	0	0	0	0	0	0	1.56	1.98	0	0	0.1	0	7.74	79.56	3.9	0.84	0.06	2.52	0	0	0	0.02	0.04	0	0.3	0	0	0	0	0	0.04	1.34	0
H0781	0	0	0	0	0	0	1.56	7.36	0	0	0.04	0	6.06	77.72	2.86	0.42	0.02	0	0	0	0	0	0.02	0	2.64	0	0	0	0	0	0	1.3	0
H0785	0	0	0	0	0	0	7.26	5.96	0	0	0	0	8.04	70.8	4.18	0.72	1.1	0	0	0	0	0	0	0	0.78	0	0	0	0	0	0.08	1.08	0
H0790	0	0	0	0	0	0	0.94	2.7	0	0	0.06	0	2.02	72.94	12.82	0.42	0.16	4.88	0	0	0.12	0.12	0.02	0	1.86	0	0	0	0.02	0	0	0.92	0
H0793	0	0	0	0	0	0	0.84	11.88	0	0	0	0	4.6	72.38	5.32	0.34	4.2	0	0	0	0	0.02	0	0	0.04	0	0	0	0	0	0	0.38	0
H0796	0	0	0	0	0	0	0.62	1.98	0	0	0.02	0	14.5	74.84	6.5	0.38	0.22	0	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0.62	0
H0800	0	0	0	0	0	0	0.8	4.06	0	0	0	0	12.02	76.68	3.5	0.66	0.14	1.08	0	0	0	0.06	0	0	0.26	0	0	0	0	0	0	0.74	0
H0812	0	0	0	0	0	0	2	7.72	0	0	0.14	0	8.34	68.7	3.8	0.6	0.14	0.64	0	0	0.02	0.06	0.02	0	6.82	0	0	0	0	0	0	1	0
H0823	0	0	0	0	0	0	0.62	17.12	0	0	0.7	0	2.52	75.98	1.6	0.54	0.02	0	0	0	0	0	0	0	0.36	0	0	0	0	0	0	0.54	0
H0838	0	0	0	0	0	0	8.78	6.22	0	0	0	0	0.58	78.34	2.56	3.14	0	0	0	0	0	0.06	0.14	0	0	0	0	0.02	0	0	0	0.16	0
H0846	0	0	0	0	0	0	1.7	3.8	0	0	0.08	0	6.04	83.64	1.68	0.62	0.06	0.9	0	0	0.04	0	0	0	0.42	0	0	0	0	0	0.04	0.98	0
H0849	0	0	0	0	0	0	17.16	8.02	0	0	0	0	3.06	64.22	1.06	5.18	0	0	0	0	0	0.48	0.26	0	0.26	0	0	0.04	0	0	0	0.26	0
H0851	0	0	0	0	0	0	3.3	5.96	0	0	0	0	9.44	76.02	1.3	0.44	3.22	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.3	0
H0866	0	0	0	0	0	0	31.32	14.4	0	0	0.12	0	4.48	44.8	0.58	3.4	0	0	0	0	0.02	0.6	0.04	0	0.24	0	0	0	0	0	0	0	0
H0886	0	0	0	0	0	0	9.14	11.8	0	0	0.06	0	1.54	73.14	1.76	1.24	0	0	0	0	0.02	0.08	0.16	0	0.16	0	0	0	0	0	0.88	0.02	0
H0896	0	0	0	0	0	0	1.6	10.46	0	0	0.02	0	13.98	68.94	3.44	1.08	0.04	0	0	0	0	0.38	0.02	0	0.02	0	0	0	0	0	0	0.02	0
H0914	0	0	0	0	0	0	7.2	9.88	0	0	0	0	1.24	72.82	2.96	5.48	0.02	0	0	0	0	0.02	0.08	0	0	0	0	0.14	0	0	0	0.16	0
H0915	0	0	0	0	0	0	2.62	0.84	0	0	0	0	3.74	77.1	7.32	7.84	0	0	0	0	0	0.02	0.08	0	0.02	0	0	0.16	0	0	0	0.26	0
H0930	0	0	0	0	0	0	6.1	5.28	0	0	0	0	34.22	50.16	0.56	3.46	0	0	0	0	0	0	0	0	0.2	0	0	0	0.02	0	0	0	0
J0001	0	0	0	0	0	0	1.06	2.96	0	0	0	0	20.6	60.86	0.62	0.24	13.32	0	0	0	0	0	0	0	0.08	0	0	0.06	0	0	0.06	0.14	0
J0003	0	0	0	0	0	0	1.76	18.96	0	0	0.9	0	2.64	52.86	14.92	1.82	0.02	0.06	0.12	0	0	0.64	0.14	0	0	0	0	0.22	0	0	0.02	4.92	0
J0005	0	0	0	0	0	0	2.74	15.14	0	0	0	0	1.82	72.34	2.52	1.08	0.02	0	0	0	0	0.2	0.02	0	3.92	0	0	0	0	0	0	0.2	0
J0018	0	0	0	0	0	0	0.44	3.6	0	0	0	0	10.68	67.72	1.36	0.24	15.46	0	0	0	0	0.04	0	0	0	0	0	0.04	0	0	0.12	0.3	0
J0020	0	0	0	0	0	0	2.48	37	0	0	0	0	3.52	52.16	0.72	2.22	0	1.26	0	0	0	0.42	0.02	0	0.18	0	0	0	0	0	0	0.02	0
J0022	0	0	0	0	0	0	4.14	2.66	0	0	0	0	1.74	68.4	4.52	0.38	0	0	0	0	0	0.16	0.24	0	17.56	0	0	0	0.02	0	0	0.18	0
J0024	0	0	0	0	0	0	4.48	1.18	0	0	0	0	44.32	36.84	0.94	0.36	0	0.02	0	0	0	0.02	0.08	0.02	11.5	0	0	0	0.02	0	0.1	0.12	0
J0036	0	0	0	0	0	0	1.04	9	0	0	0	0	21.98	62.26	1.84	0.24	0.7	0	0	0	0	0.14	0	0	0.02	0	0	0	0	0	0	2.78	0
J0038	0	0	0	0	0	0	2.18	45.34	0	0	0	0	2.76	39.62	4.22	1.08	0	3.76	0	0	0	0.72	0.04	0	0.22	0	0	0	0	0	0	0.06	0
J0040	0	0	0	0	0	0	0.6	15.92	0	0	0	0	32.52	44.6	0.38	1.36	0	0.04	0	0	2.1	0.9	0	0	1.46	0	0	0	0	0	0	0.12	0
J0042	0	0	0	0	0	0	0.92	42.06	0	0	0	0	12.22	37.38	0.86	1.5	0	1.44	0	0	0	0.82	0.02	0	2.44	0.02	0	0	0	0	0.1	0.22	0
J0054	0	0	0	0	0	0	2.64	3.38	0	0	0	0	23.4	66.88	1.86	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	1.5	0
J0056	0	0	0	0	0	0	6.86	19.34	0	0	0	0	5.12	65.32	1.26	1.16	0.02	0.32	0	0	0	0.38	0.08	0	0.12	0	0	0	0	0	0.02	0	0
J0058	0	0	0	0	0	0	1.34	5.78	0	0	0	0	17.56	67.3	0.96	3.82	1.18	0	0	0	0	0.28	0.08	0	1.28	0.06	0	0	0	0	0	0.36	0
J0060	0	0	0	0	0	0	2.56	4.68	0	0	0	0	41.24	42	1.86	0.12	0	0.2	0	0	0	0	0.1	0	7.16	0.02	0	0	0	0	0	0.06	0
J0072	0	0	0	0	0	0	1.98	2.22	0	0	0	0	24.34	59.82	1.6	0.1	0.02	0	0	0	0	0.06	0	0	0.12	0	0	0	0	0	0.2	9.54	0
J0074	0	0	0	0	0	0	6.62	9.76	0	0	0	0	4.14	75.28	2.94	0.78	0	0.32	0	0	0	0.1	0.04	0	0.02	0	0	0	0	0	0	0	0
J0076	0	0	0	0	0	0	1	21.06	0	0	0	0	12.92	44.98	4.84	8.4	0.16	4.82	0	0	0	1.24	0.12	0	0.14	0	0	0	0	0	0	0.32	0
J0078	0	0	0	0	0	0	1.14	11.52	0	0	0	0	37.52	43.46	0.54	2.48	0	0	0	0	0	0.18	0	0	2.9	0.04	0	0	0	0	0.02	0.2	0
J0090	0	0	0	0	0	0	2.56	6.58	0	0	0	0	34.24	46.54	9.06	0.1	0.02	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0.04	0.82	0
J0092	0	0	0	0	0	0	5.9	16.62	0	0	0	0	7.82	64.66	1.46	1.38	0.02	0.02	0	0	0.02	0.28	0.16	0	1.64	0	0	0.02	0	0	0	0	0
J0094	0	0	0	0	0	0	1.74	5.86	0	0	0	0	15.82	55.88	0.42	11.86	1.02	0.76	0	0	0	0.38	0.06	0.02	5.78	0.02	0	0	0	0	0.1	0.28	0
J0109	0	0	0	0	0	0	0.78	12.44	0	0	0	0	1.52	77.52	2.44	1.82	0.54	0	0	0	0.46	0.32	0.14	0	1.76	0.04	0	0	0	0	0	0.22	0
J0124	0	0	0	0	0	0	1.98	2.96	0	0	0	0	23.66	68.16	2.12	0.8	0.02	0	0	0	0	0.04	0	0	0.02	0	0	0	0	0	0	0.24	0
J0126	0	0	0	0	0	0	1.6	18.1	0	0	0	0	1.88	68.52	3	2.36	0	0	0	0	0.04	0.34	0.04	0	3.88	0	0	0	0	0	0	0.24	0
J0128	0	0	0	0	0	0	2.48	5.1	0	0	0	0	9.78	71.88	2.66	2.38	1.64	0.12	0	0	0	0.08	0.02	0.4	2.98	0	0	0	0	0	0.24	0.24	0
M0828	0	0	0	0	0	0	0.54	23.7	0	0	0	0	4.7	66.58	2.7	1.24	0.06	0	0	0	0	0	0.12	0	0.02	0	0	0	0	0	0.02	0.32	0
M0829	0	0	0	0	0	0	1.16	17.76	0	0	0	0	36	33.7	1.32	6.66	0	0	0	0	0	0.02	0.02	0	3.14	0	0	0	0.02	0	0	0.2	0
M0830	0	0	0	0	0	0	2.04	8.12	0	0	0.36	0	9.72	74.14	2.44	2.26	0	0	0	0	0	0.26	0.04	0	0.06	0	0	0	0	0	0.04	0.52	0
M0831	0	0	0	0	0	0	0.02	12.98	0	0	0.84	0	5.44	67.74	4.66	5.14	0.02	0	0	0	0.12	2.06	0.02	0	0.08	0.18	0	0.02	0	0	0	0.68	0
M0833	0	0	0	0	0	0	0.3	8.7	0	0	1.1	0	26.32	61.04	0.54	0.6	0	0	0	0	0	0.18	0.02	0	0	0.04	0	0	0	0	0	1.16	0
M0834	0	0	0	0	0	0	0.06	6.7	0	0	0	0	12.94	72.64	0.96	0.62	5.34	0	0	0	0.04	0	0	0	0	0.12	0	0	0	0	0	0.58	0
M0835	0	0	0	0	0	0	0.1	4.78	0	0	0	0	14.58	77.92	0.96	0.3	0.62	0	0	0	0	0.02	0	0	0.04	0	0	0	0	0	0	0.68	0
M0836	0	0	0	0	0	0	0.12	2.28	0	0	0	0	1.1	90.7	3.34	0.34	0.08	0	0	0	0	0.06	0.02	0	0	0	0	0	0	0	0	1.96	0
M0837	0	0	0	0	0	0	0.28	1.74	0	0	0.02	0	2.92	87.12	4.06	0.78	0.42	0	0	0	0	0	0.02	0	0.1	0	0	0	0	0	0	2.54	0
M0839	0	0	0	0	0	0	1.56	26.48	0	0	0.52	0	3	60.34	2.22	3.02	0	0	0	0	0	0.24	0.06	0	0.72	0	0	0.08	0	0	0	1.76	0
M0840	0	0	0	0	0	0	0.16	13.66	0	0	0.04	0	9.3	73	1.36	1.48	0	0	0	0	0	0.06	0	0	0.04	0	0	0	0	0	0	0.9	0
M0841	0	0	0	0	0	0	0.1	2.06	0	0	0	0	14.52	75.48	4.5	0.34	0	0	0	0	0	0.06	0.02	0	1.1	0	0	0.04	0	0	0	1.78	0
M0842	0	0	0	0	0	0	0.1	50.2	0	0	0.02	0	7.72	26.74	1.12	6.08	0	0.04	0	0	0	0.34	0.02	0	7.42	0	0	0.02	0	0	0	0.18	0
M0843	0	0	0	0	0	0	1.76	12.9	0	0	0	0	12.68	63.68	3.7	1.14	0.02	0	0	0	0	0.12	0.06	0	0.4	0	0	0.08	0	0	0	3.46	0
M0845	0	0	0	0	0	0	1.08	0.1	0	0	0	0	3.22	46.38	48.04	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	1.12	0
M0846	0	0	0	0	0	0	1.96	1.14	0	0	0	0	0.58	42.2	52.34	0	0.6	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0	1.12	0
M0847	0	0	0	0	0	0	1.72	2.3	0	0	0	0	7.18	34.08	46.04	0	0	0	0	0	0	0	0	0	8.22	0	0	0	0.02	0	0	0.44	0
M0848	0	0	0	0	0	0	1.94	10.8	0	0	0	0	0.98	80.3	4.24	0.82	0.2	0	0	0	0	0.02	0.06	0	0	0	0	0	0.02	0	0.02	0.6	0
M0849	0	0	0	0	0	0	1.1	4.82	0	0	0	0	15.6	75.28	0.58	0.5	0.06	0	0	0	0	0.04	0.1	0	0.82	0	0	0	0	0	0.04	1.06	0
M0851	0	0	0	0	0	0	0.3	9.46	0	0	0.06	0	34.44	29.48	17.12	0.14	1.22	0	0	0	0	0	0.16	0	2.06	0	0	0.54	0.02	0	0	5	0
