SampleID	k_Archaea.p_Euryarchaeota	k_Archaea.p_unassigned	k_Bacteria.p_Acidobacteria	k_Bacteria.p_Actinobacteria	k_Bacteria.p_Bacteroidetes	k_Bacteria.p_DeinococcusThermus	k_Bacteria.p_Firmicutes	k_Bacteria.p_Fusobacteria	k_Bacteria.p_Lentisphaerae	k_Bacteria.p_Planctomycetes	k_Bacteria.p_Proteobacteria	k_Bacteria.p_Spirochaetes	k_Bacteria.p_Synergistetes	k_Bacteria.p_TM7	k_Bacteria.p_Tenericutes	k_Bacteria.p_Verrucomicrobia	k_Bacteria.p_unassigned	k_unassigned.p_unassigned
H0680	0	0	0	1	35.12	0	61.98	0	0	0	1.32	0	0	0	0	0	0.58	0
H0681	0	0	0	2.84	17.5	0	78.64	0	0	0	0.7	0	0	0	0	0	0.32	0
H0682	0	0	0	0.76	19	0	79.7	0.02	0	0	0.4	0	0	0	0	0	0.12	0
H0684	0	0	0	2.16	48.7	0	47.92	0	0	0	0.96	0	0	0	0	0	0.26	0
H0689	0	0	0	1.16	26.16	0	71.88	0	0	0	0.62	0	0	0	0	0	0.18	0
H0693	0	0	0	2.08	27.1	0	69.74	0	0	0	0.98	0	0	0	0	0	0.1	0
H0694	0	0	0	1.14	47.18	0	49.62	0	0	0	1.66	0	0	0	0	0	0.4	0
H0700	0	0	0	5.44	10.24	0	84	0.02	0	0	0.22	0	0	0	0	0	0.08	0
H0705	0	0	0	0.96	5.26	0	93.42	0.02	0	0	0.32	0	0.02	0	0	0	0	0
H0709	0	0	0	0.3	37.84	0	60.32	0	0	0	1.2	0	0	0	0	0	0.34	0
H0716	0	0	0	1.82	15.34	0	77.12	0.04	0	0	5.68	0	0	0	0	0	0	0
H0735	0	0	0	1	21.54	0	74.58	0	0	0	0.38	0	0	0	0	0	2.5	0
H0736	0	0	0	7.12	33.4	0	58.7	0	0	0	0.56	0	0	0	0	0.02	0.2	0
H0738	0	0	0	0.94	38.1	0	58.92	0	0	0	2.04	0	0	0	0	0	0	0
H0742	0	0	0	1.98	2.44	0	91.7	1.48	0	0	1.7	0	0	0	0	0	0.7	0
H0757	0	0	0	1.4	18.38	0	78.74	0	0	0	0.72	0	0	0	0	0	0.76	0
H0762	0	0	0	1.22	8.96	0	88.84	0	0	0	0.08	0	0	0	0	0	0.9	0
H0768	0	0	0	0.48	10.3	0	87.64	0	0	0	1.18	0	0	0.02	0	0	0.38	0
H0775	0	0	0	1.56	2.08	0	92.1	2.52	0	0	0.36	0	0	0	0	0.04	1.34	0
H0781	0	0	0	1.56	7.4	0	87.08	0	0	0	2.66	0	0	0	0	0	1.3	0
H0785	0	0	0	7.26	5.96	0	84.84	0	0	0	0.78	0	0	0	0	0.08	1.08	0
H0790	0	0	0	0.94	2.76	0	88.36	4.88	0	0	2.12	0	0	0.02	0	0	0.92	0
H0793	0	0	0	0.84	11.88	0	86.84	0	0	0	0.06	0	0	0	0	0	0.38	0
H0796	0	0	0	0.62	2	0	96.44	0	0	0	0.32	0	0	0	0	0	0.62	0
H0800	0	0	0	0.8	4.06	0	93	1.08	0	0	0.32	0	0	0	0	0	0.74	0
H0812	0	0	0	2	7.86	0	81.58	0.64	0	0	6.92	0	0	0	0	0	1	0
H0823	0	0	0	0.62	17.82	0	80.66	0	0	0	0.36	0	0	0	0	0	0.54	0
H0838	0	0	0	8.78	6.22	0	84.62	0	0	0	0.2	0	0.02	0	0	0	0.16	0
H0846	0	0	0	1.7	3.88	0	92.04	0.9	0	0	0.46	0	0	0	0	0.04	0.98	0
H0849	0	0	0	17.16	8.02	0	73.52	0	0	0	1	0	0.04	0	0	0	0.26	0
H0851	0	0	0	3.3	5.96	0	90.42	0	0	0	0.02	0	0	0	0	0	0.3	0
H0866	0	0	0	31.32	14.52	0	53.26	0	0	0	0.9	0	0	0	0	0	0	0
H0886	0	0	0	9.14	11.86	0	77.68	0	0	0	0.42	0	0	0	0	0.88	0.02	0
H0896	0	0	0	1.6	10.48	0	87.48	0	0	0	0.42	0	0	0	0	0	0.02	0
H0914	0	0	0	7.2	9.88	0	82.52	0	0	0	0.1	0	0.14	0	0	0	0.16	0
H0915	0	0	0	2.62	0.84	0	96	0	0	0	0.12	0	0.16	0	0	0	0.26	0
H0930	0	0	0	6.1	5.28	0	88.4	0	0	0	0.2	0	0	0.02	0	0	0	0
J0001	0	0	0	1.06	2.96	0	95.64	0	0	0	0.08	0	0.06	0	0	0.06	0.14	0
J0003	0	0	0	1.76	19.86	0	72.26	0.06	0.12	0	0.78	0	0.22	0	0	0.02	4.92	0
J0005	0	0	0	2.74	15.14	0	77.78	0	0	0	4.14	0	0	0	0	0	0.2	0
J0018	0	0	0	0.44	3.6	0	95.46	0	0	0	0.04	0	0.04	0	0	0.12	0.3	0
J0020	0	0	0	2.48	37	0	58.62	1.26	0	0	0.62	0	0	0	0	0	0.02	0
J0022	0	0	0	4.14	2.66	0	75.04	0	0	0	17.96	0	0	0.02	0	0	0.18	0
J0024	0	0	0	4.48	1.18	0	82.46	0.02	0	0	11.62	0	0	0.02	0	0.1	0.12	0
J0036	0	0	0	1.04	9	0	87.02	0	0	0	0.16	0	0	0	0	0	2.78	0
J0038	0	0	0	2.18	45.34	0	47.68	3.76	0	0	0.98	0	0	0	0	0	0.06	0
J0040	0	0	0	0.6	15.92	0	78.86	0.04	0	0	4.46	0	0	0	0	0	0.12	0
J0042	0	0	0	0.92	42.06	0	51.96	1.44	0	0	3.3	0	0	0	0	0.1	0.22	0
J0054	0	0	0	2.64	3.38	0	92.38	0	0	0	0	0	0	0	0	0.1	1.5	0
J0056	0	0	0	6.86	19.34	0	72.88	0.32	0	0	0.58	0	0	0	0	0.02	0	0
J0058	0	0	0	1.34	5.78	0	90.82	0	0	0	1.7	0	0	0	0	0	0.36	0
J0060	0	0	0	2.56	4.68	0	85.22	0.2	0	0	7.28	0	0	0	0	0	0.06	0
J0072	0	0	0	1.98	2.22	0	85.88	0	0	0	0.18	0	0	0	0	0.2	9.54	0
J0074	0	0	0	6.62	9.76	0	83.14	0.32	0	0	0.16	0	0	0	0	0	0	0
J0076	0	0	0	1	21.06	0	71.3	4.82	0	0	1.5	0	0	0	0	0	0.32	0
J0078	0	0	0	1.14	11.52	0	84	0	0	0	3.12	0	0	0	0	0.02	0.2	0
J0090	0	0	0	2.56	6.58	0	89.96	0	0	0	0.04	0	0	0	0	0.04	0.82	0
J0092	0	0	0	5.9	16.62	0	75.34	0.02	0	0	2.1	0	0.02	0	0	0	0	0
J0094	0	0	0	1.74	5.86	0	85	0.76	0	0	6.26	0	0	0	0	0.1	0.28	0
J0109	0	0	0	0.78	12.44	0	83.84	0	0	0	2.72	0	0	0	0	0	0.22	0
J0124	0	0	0	1.98	2.96	0	94.76	0	0	0	0.06	0	0	0	0	0	0.24	0
J0126	0	0	0	1.6	18.1	0	75.76	0	0	0	4.3	0	0	0	0	0	0.24	0
J0128	0	0	0	2.48	5.1	0	88.34	0.12	0	0	3.48	0	0	0	0	0.24	0.24	0
M0828	0	0	0	0.54	23.7	0	75.28	0	0	0	0.14	0	0	0	0	0.02	0.32	0
M0829	0	0	0	1.16	17.76	0	77.68	0	0	0	3.18	0	0	0.02	0	0	0.2	0
M0830	0	0	0	2.04	8.48	0	88.56	0	0	0	0.36	0	0	0	0	0.04	0.52	0
M0831	0	0	0	0.02	13.82	0	83	0	0	0	2.46	0	0.02	0	0	0	0.68	0
M0833	0	0	0	0.3	9.8	0	88.5	0	0	0	0.24	0	0	0	0	0	1.16	0
M0834	0	0	0	0.06	6.7	0	92.5	0	0	0	0.16	0	0	0	0	0	0.58	0
M0835	0	0	0	0.1	4.78	0	94.38	0	0	0	0.06	0	0	0	0	0	0.68	0
M0836	0	0	0	0.12	2.28	0	95.56	0	0	0	0.08	0	0	0	0	0	1.96	0
M0837	0	0	0	0.28	1.76	0	95.3	0	0	0	0.12	0	0	0	0	0	2.54	0
M0839	0	0	0	1.56	27	0	68.58	0	0	0	1.02	0	0.08	0	0	0	1.76	0
M0840	0	0	0	0.16	13.7	0	85.14	0	0	0	0.1	0	0	0	0	0	0.9	0
M0841	0	0	0	0.1	2.06	0	94.84	0	0	0	1.18	0	0.04	0	0	0	1.78	0
M0842	0	0	0	0.1	50.22	0	41.66	0.04	0	0	7.78	0	0.02	0	0	0	0.18	0
M0843	0	0	0	1.76	12.9	0	81.22	0	0	0	0.58	0	0.08	0	0	0	3.46	0
M0845	0	0	0	1.08	0.1	0	97.68	0	0	0	0	0	0	0.02	0	0	1.12	0
M0846	0	0	0	1.96	1.14	0	95.72	0	0	0	0.06	0	0	0	0	0	1.12	0
M0847	0	0	0	1.72	2.3	0	87.3	0	0	0	8.22	0	0	0.02	0	0	0.44	0
M0848	0	0	0	1.94	10.8	0	86.54	0	0	0	0.08	0	0	0.02	0	0.02	0.6	0
M0849	0	0	0	1.1	4.82	0	92.02	0	0	0	0.96	0	0	0	0	0.04	1.06	0
M0851	0	0	0	0.3	9.52	0	82.4	0	0	0	2.22	0	0.54	0.02	0	0	5	0
M0852	0	0	0	0.16	7.72	0	86.74	0	0	0	3.44	0	0.04	0	0	0	1.9	0
M0853	0	0	0	0.3	8.2	0	84.76	0	0	0	1.34	0	0	0	0	0	5.4	0
M0854	0	0	0	0.48	1.58	0	94.62	0	0	0	1.3	0	0	0	0	0	2.02	0
M0855	0	0	0	0.72	7.46	0	89.76	0.06	0	0	0.52	0	0	0	0	0	1.48	0
