SampleID	k_Archaea.p_Euryarchaeota.c_Methanomicrobia.o_Methanosarcinales	k_Archaea.p_Euryarchaeota.c_Thermococci.o_Thermococcales	k_Archaea.p_Euryarchaeota.c_unassigned.o_unassigned	k_Archaea.p_unassigned.c_unassigned.o_unassigned	k_Bacteria.p_Acidobacteria.c_Acidobacteria_Gp1.o_Incertae_sedis	k_Bacteria.p_Acidobacteria.c_Holophagae.o_Acanthopleuribacterales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Acidimicrobiales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Solirubrobacterales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_unassigned	k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales	k_Bacteria.p_Bacteroidetes.c_Flavobacteria.o_Flavobacteriales	k_Bacteria.p_Bacteroidetes.c_Sphingobacteria.o_Sphingobacteriales	k_Bacteria.p_Bacteroidetes.c_unassigned.o_unassigned	k_Bacteria.p_DeinococcusThermus.c_Deinococci.o_Thermales	k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales	k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales	k_Bacteria.p_Firmicutes.c_Bacilli.o_unassigned	k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales	k_Bacteria.p_Firmicutes.c_Clostridia.o_unassigned	k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales	k_Bacteria.p_Firmicutes.c_Negativicutes.o_Selenomonadales	k_Bacteria.p_Firmicutes.c_unassigned.o_unassigned	k_Bacteria.p_Fusobacteria.c_Fusobacteria.o_Fusobacteriales	k_Bacteria.p_Lentisphaerae.c_Lentisphaeria.o_Incertae_sedis	k_Bacteria.p_Lentisphaerae.c_Lentisphaeria.o_Victivallales	k_Bacteria.p_Planctomycetes.c_Planctomycetacia.o_Planctomycetales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Caulobacterales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Kiloniellales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Kordiimonadales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Parvularculales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Rhizobiales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Rhodobacterales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Rhodospirillales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Sphingomonadales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_unassigned	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Methylophilales	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Neisseriales	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Rhodocyclales	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_unassigned	k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria.o_Desulfovibrionales	k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria.o_Desulfuromonadales	k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria.o_Myxococcales	k_Bacteria.p_Proteobacteria.c_Epsilonproteobacteria.o_Campylobacterales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Alteromonadales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Cardiobacteriales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacteriales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Legionellales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Oceanospirillales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Pasteurellales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Pseudomonadales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Xanthomonadales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_unassigned	k_Bacteria.p_Proteobacteria.c_unassigned.o_unassigned	k_Bacteria.p_Spirochaetes.c_Spirochaetes.o_Spirochaetales	k_Bacteria.p_Synergistetes.c_Synergistia.o_Synergistales	k_Bacteria.p_TM7.c_Incertae_sedis.o_Incertae_sedis	k_Bacteria.p_Tenericutes.c_Mollicutes.o_Anaeroplasmatales	k_Bacteria.p_Verrucomicrobia.c_Verrucomicrobiae.o_Verrucomicrobiales	k_Bacteria.p_unassigned.c_unassigned.o_unassigned	k_unassigned.p_unassigned.c_unassigned.o_unassigned
F0315	0	0	0	0.12	0	0	0	0.22	0	7.66	0	0	21.12	0	0.02	0	0	0.42	0.72	0.54	61.42	0	4.46	0.34	0	0	0	0	0	0	0	0	0	0.1	0	0.06	0	0	1.42	0.1	0	0	0	0	0	0	0	0	0	0.88	0	0	0	0	0	0.02	0.16	0	0	0	0	0.16	0.06	0
F0319	0	0.54	0.6	1.28	0	0	0	2.72	0	1.62	0	0	14.82	0	0.52	0.24	0	3.22	4.36	0	47.42	0	0.04	2.08	0	0.7	0	0	0	0.4	0	0	0	2.66	0	1.26	0.28	0	11.72	0	0	0.52	0	0	0	0	0	0	0	0.82	0	0	0	2.04	0	0	0.14	0	0	0	0	0	0	0
F0320	0.34	0.22	0.64	0.62	0	0	0	1.66	0	0	0	0	41.64	0	0.16	0.22	0	2	3.02	0	28.84	0	0.6	6.86	0	0.12	0	0	0	0	0	0	0	0.38	0.18	0.4	0.36	0.1	5.98	0	0	0	0	0	0	0	0	0	0	4.84	0	0	0	0	0.38	0.14	0.24	0	0	0	0	0	0.06	0
F0323	0	0	0	0.02	0	0	0	0.12	0	1.2	0	0	16.34	0	0	0	0	0.08	2.8	4.32	66.44	0	2.12	3.26	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	1.16	0	0	0	0	0.02	0	0	0	0	0	1.72	0	0	0.26	0	0	0	0.1	0	0	0	0	0	0	0
F0331	0.04	0	0.02	0.02	0	0	0	0.68	0	0.5	0	0	13.34	0	0	0.02	0	0.02	47.78	0.68	28.32	0	2.08	1.4	0	0	0	0	0	0.02	0	0	0	0.32	0	0	0.28	0	0.24	0	0	0	0	0.02	0	0	0	0	0	3.64	0	0	0.02	0	0.04	0	0	0	0	0	0	0.44	0.06	0.02
F0334	0.16	0.14	0.42	0.1	0	0	0	0.34	0	0.56	0	0	18.52	0	0.18	0	0	3.56	12.46	0	34.86	0	21.5	0	0.64	0	0	0	0	0.18	0	0	0	0	0.06	0.08	0	0	1.64	0	0	0	0	0.06	0	0	0	0	0	0.02	0	0.08	0.1	0.02	0	0	0	0	0	0	3.42	0.14	0.6	0.16
F0335	0.14	0.08	0.32	0	0	0	0	0.18	0	15.7	0	0	3.3	0.02	0.06	0	0	0.22	0.42	0.56	73.24	0	3.3	0.34	0	0	0	0	0	0.04	0	0	0	0.02	0	0.04	0.04	0	0.68	0	0	0	0.02	0.02	0	0	0	0.02	0	0.2	0	0	0	0.02	0.02	0.06	0.04	0	0	0	0	0.44	0.34	0.12
F0336	0.2	0.1	2	0.94	0	0	0	5.4	0	0.62	0	0	4.94	0	0.32	0	0	3.62	3.02	2.92	52.88	0	1.06	1.6	5.08	0	0	0	0	1.12	0	0	0	1.42	0	0.02	0.28	0	9.4	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0.14	0	1.02	0.32	0	0	0	0	1.08	0.06	0
F0371	0	0	0	0	0	0	0	0	0.06	0.56	0	0.02	4.98	0	0	0	0	0.14	9.62	35.44	40.32	0	3.58	0.02	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48	0
F0380	0	0	0	0	0	0	0	0	2.26	1.64	0	0	2.26	0	0	0	0	0	3.58	6.96	76.94	0	3.76	0.04	1.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0.04	0	0	0	0	0.06	0	0	0.06	0.32	0
F0445	0	0	0	0	0	0	0	0.04	0	0.68	0	0	2.5	0	0	0	0	0	4.98	8.68	74	0	1.38	0.08	7.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0.26	0
H0487	0	0	0	0	0	0	0	0.08	0	0.28	0	0	17.18	0	0	0	0	0.08	34.08	0.6	41.1	0	0.5	0.72	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0.02	5.18	0
H0505	0	0	0	0	0	0	0	0.24	0	1.88	0	0	49.94	0	0	0.2	0	0	6.66	0.38	33.16	0	0.16	0.78	0.06	0.06	0	0	0	0	0	0	0.02	0	0	0	0	0	0.8	0	0	0	0	1	0	0	0	0	0	3.28	0	0	0.04	0	0	0	0	0	0	0	0	0	1.34	0
H0523	0	0	0	0	0	0	0	0.14	0	0.46	0	0	25.14	0	0	0	0	0.02	10.82	0.02	55.52	0	5.5	1.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.14	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0.46	0
H0528	0	0	0	0	0	0	0	0.2	0	1.22	0	0	15.32	0	0	0	0	0.02	29.5	0.08	49.52	0	0.68	2.58	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.06	0
H0571	0	0	0	0	0	0	0	0.1	0	1.96	0	0	62.12	0	0	0	0	0	0.84	0.52	26.84	0	1.08	4.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	2.42	0	0	0.02	0	0	0	0	0	0.04	0	0	0	0	0
H0577	0	0	0	0	0	0	0	0.08	0.02	2.34	0	0	7.18	0	0	0	0	0.02	8.24	0.02	80.64	0	0.94	0.44	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0587	0	0	0	0	0	0	0	0.22	0	1.22	0	0	27.68	0	0	0	0	0.04	14.02	0.18	51.14	0	1.38	1.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0
H0601	0	0	0	0	0	0	0	0.04	0	0.28	0	0	37.7	0	0	0	0	0.02	9.04	0.06	50.84	0	0.08	1.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0613	0	0	0	0	0	0	0	0.3	0	0.98	0	0	4.08	0	0	0.32	0	0.04	7.14	0.24	69.76	0	15.34	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0.04	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.04	0.04	0
H0617	0	0	0	0	0	0	0	0.06	0	0.06	0	0	29.08	0	0	0	0	0	2.06	0.04	63.46	0	2.58	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0
H0618	0	0	0	0	0	0	0	0.46	0	3.06	0	0	3.38	0	0	0	0	0	13.34	1.3	67.34	0	1.94	9	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0622	0	0	0	0	0	0	0	0.42	0	3.2	0	0	3.44	0	0	0	0	0	10.3	0.54	77.7	0	0.92	3.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0
H0624	0	0	0	0	0	0	0	2.58	0	5.26	0	0	0.82	0	0	0	0	0	23.64	1.42	53.88	0	12.28	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0
H0627	0	0	0	0	0	0	0	0	0	1.08	0	0	7.26	0	0	0	0	0	10.32	0.06	65	0	12.46	0.8	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0.04	0	0	0	0	0	0.06	0	0	0	0	0	0	0.02	0	0	0	0	0.02	2.5	0
H0638	0	0	0	0	0	0	0	0.1	0	0.6	0	0	49.4	0	0	0	0	0.02	1.4	0.2	36.54	0.02	4.74	0.5	4.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0.04	0	0	0	0	0	1.26	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0
H0647	0	0	0	0	0	0	0	0.36	0	2.92	0	0	8.22	0	0	0.16	0	0.04	11.22	0.28	69.86	0	2.68	3.82	0.08	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.24	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0
H0656	0	0	0	0	0	0	0	0.2	0	3.12	0	0	32.04	0	0	0	0	0	7.06	0.04	41.98	0	3.88	4.22	0.28	0	0	0	0	0	0	0	0	0.02	0	0	0	3.7	2.46	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.06	0	0	0	0	0	0	0	0	0	0.9	0
H0658	0	0	0	0	0	0	0	0.26	0	2.2	0	0	25.74	0	0	0	0	0.24	8.32	0.04	60.34	0	1.66	0.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0
H0659	0	0	0	0	0	0	0	0.12	0	0.34	0	0	21.24	0	0	0	0	0	1.06	0.8	62.04	0.02	8.56	0.9	4.02	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.22	0	0	0	0	0.08	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0
H0661	0	0	0	0	0	0	0	0.02	0	2.24	0	0	17.72	0	0	0	0	0	5.82	0.14	67.18	0	3.82	0.76	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0.16	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	1.56	0
H0664	0	0	0	0	0	0	0	0.26	0	1.06	0	0	23.42	0	0	0	0	0	5.8	0.06	62.16	0	4.42	1.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.74	0
H0667	0	0	0	0	0	0	0	0.02	0	2.46	0	0	30.74	0	0	0	0	0	0.74	0.02	54.48	0	7.62	1.5	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.26	1.7	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.36	0
H0668	0	0	0	0	0	0	0	0.22	0	1.06	0	0	11.28	0	0	0	0	0.06	2.58	0.64	75.58	0.02	1.9	4.08	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.06	0	0	0	0	0.06	0	0	0	0	0	0.24	0	0	0.02	0	0	0	0	0	0	0	0	0	0.36	0
H0680	0	0	0	0	0	0	0	0	0	1	0	0	35.12	0	0	0	0	0	0.7	0.02	49.42	0	10.86	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	1.04	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58	0
H0681	0	0	0	0	0	0	0	0.16	0	2.68	0	0	17.5	0	0	0	0	0	4.14	1.02	61.42	0	5.06	0.7	6.3	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.1	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0.12	0	0	0	0	0	0	0	0	0	0.32	0
H0682	0	0	0	0	0	0	0	0.04	0	0.72	0	0	19	0	0	0	0	0.04	0.28	0.02	73.42	0	5.08	0.86	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.04	0.3	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0
H0684	0	0	0	0	0	0	0	0.02	0	2.14	0	0	48.6	0	0	0.1	0	0.04	4.62	0	38.92	0	2.48	1.82	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0
H0689	0	0	0	0	0	0	0	0.28	0	0.88	0	0	26.16	0	0	0	0	0	4.46	0.78	55.8	0	3.92	1.2	5.72	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.16	0	0	0	0	0.1	0	0	0	0	0	0.26	0	0	0.08	0	0	0	0	0	0	0	0	0	0.18	0
H0693	0	0	0	0	0	0	0	0.34	0	1.74	0	0	27.1	0	0	0	0	0	3.14	3.44	49.72	0	7.36	1.32	4.76	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.18	0	0	0	0	0.02	0	0	0	0	0	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0
H0694	0	0	0	0	0	0	0	0.22	0	0.92	0	0	47.12	0	0	0.06	0	0.04	7.72	0.04	33.28	0	4.9	3.48	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0.02	1.44	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0.06	0	0	0	0	0	0	0	0	0	0.4	0
