"","SampleID","(Iso)Leucine","2-Heptanethiol","4-Pyridoxate","C16Cer","Chenodeoxycholicacidsulfate","Oleamide","Phenylalanine","Ropinirole","Valine;Betaine","Bacteroides_finegoldii","Roseburia_inulinivorans.x","otu142.Paraprevotella_clara","otu1600.Ruminococcus_callidus.x","otu5315.Fusicatenibacter_saccharivorans","Bacteroides_vulgatus","Bacteroides_uniformis","Bacteroides_massiliensis","Fusicatenibacter_saccharivorans","otu1404.Roseburia_inulinivorans","otu156.Clostridium_bolteae","otu302.Faecalibacterium_prausnitzii","otu3285.Bacteroides_barnesiae","otu3601.Bacteroides_barnesiae","otu4818.Prevotella_loescheii"
"22","H0800",6024,3076,70546,2314,11296,10235,12564,8894,6119,0,0.66,0,0,0,1.92,1.16,0.04,0.42,0.14,0.62,0.16,0,0,0
"23","H0846",13022,3378,159424,2752,13164,13457,15325,13455,7664,0,0.5,0,0,0,0.68,1.52,0.02,0.8,8.92,0.72,0,0,0,0
"24","H0886",19651,4041,77841,2096,10563,9647,18030,39514,9703,0,0,0,0,0,0.66,3.2,0.44,3.32,0.08,0.02,0.06,0,0,0
"25","J0001",35840,4848,45901,2845,11969,8969,21296,15692,11950,0,0,0,0,0,0,0.44,0,0.04,0,0.08,0,0,0,0
"26","J0003",8458,3219,18986,2290,10839,21482,12784,24547,5255,0.02,0.74,0,0,0,1.3,0.76,0,0,0,0,0.02,0,0,0
"27","J0018",59041,6722,86057,2599,15668,13453,29704,34337,24381,0,0,0,0,0,0,0.9,0,0.18,0,0.6,0,0,0,0
"28","J0020",9104,3591,26308,2222,14213,8835,13341,5180,6990,0,0,0,0,0,17.68,3.2,0,0,0.16,0,0,0,0,0
"29","J0038",38225,5478,23857,4169,11319,17198,22132,5271,17223,0,0,0,0,0,24.32,5.38,0,0,0.1,0,0,0,0,0
"30","J0054",17973,3959,75929,2140,12919,314163,16498,72501,8179,0,0,0,0,0,0.88,0,0,2.6,0,0.18,0.04,0,0,0
"31","J0058",119900,12707,19507,3882,14521,34406,51252,30676,28374,0,0,0,0,0,0.78,0.2,0,0.08,0.08,0,0.02,0,0,0
"32","J0072",15716,3464,14890,1798,15391,12756,16179,38044,6677,0,0,0,0,0,0.58,0,0,4.42,0,0.08,0.02,0,0,0
"33","J0076",151909,13599,15870,4738,12976,104850,86528,17868,46651,0,0.12,0,0,0,10.6,1.66,0,0.3,0.1,0.02,0.06,0,0,0
"34","M0830",22450,4308,157060,3908,11301,13727,17653,15314,17298,0,1,0,0,0,2.88,0.7,0,1.42,0.04,0.2,0.12,0,0,0
"35","M0831",10499,3203,22808,5129,13844,13185,14055,14484,11165,0,0.46,0,0,0,2.82,0.04,0,0.5,0,0.04,0.16,0,0,0
"36","M0836",11765,3633,28085,2314,16210,18032,15127,35721,12352,0,0.12,0,0,0,0.44,0,0,0,1.9,0.06,0.02,0,0,0
"37","M0837",18768,4291,29102,2297,13393,26089,18508,20540,12873,0,0.02,0,0,0,0.46,0.06,0,0.06,0.4,0.02,0.06,0,0,0
"38","M0839",12060,3306,46304,2571,14998,15104,12613,22102,7056,0,0.06,0,3.08,0.02,8.24,8.32,0,0.7,0.78,0,0,0,0,0
"39","M0840",9175,2967,40041,2535,13035,19840,11415,15006,6386,0,0.06,0,0,0,4.4,3.86,0,0.48,0.22,0.02,0,0,0,0
"40","M0845",285161,23539,17864,2933,11860,12930,112951,15410,72333,0,0,0,0,0,0.02,0.02,0,0.06,0,0,0.06,0,0,0
"41","M0846",261737,22050,27193,2316,17413,16729,101286,19574,77936,0.02,0.06,0,0,0,0.6,0.06,0.04,0,0,0.1,0.08,0,0,0
"42","M0852",219761,18907,1328693,3650,12535,9723,92545,20482,78468,0,0.06,0,0,0,2.3,0.28,1.84,0.12,0.04,0.36,0.06,0,0,0
"43","M0853",385392,30318,34419,2381,12469,16122,142862,44126,118305,0.02,0,0,0,0,0.98,0.3,0.72,0.02,0.12,0.1,0.08,0,0,0
