"","Metabolite",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","FC","Log2FC","log10p","Text","p<0.05","FDR<0.05",">2-fold Change","SigPandFold"
"16","(3-methyl-2-oxo-4-phenylbut-3-en-1-yl)oxy]sulfonicacid","value","PCR","RVT",14,29,0.0103728562967947,27.1504694353861,0.992,0.99974,1.00032560753039,0.000469675908505166,-0.00348832784582135,"</br> (3-methyl-2-oxo-4-phenylbut-3-en-1-yl)oxy]sulfonicacid </br>pvalue:  0.992 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"17","(3S,5R,6R,6S)-6,7-Didehydro-5,6-dihydro-3,5,6-trihydroxy-13,14,20-trinor-3-oxo-beta,epsilon-caroten-19,11-olide3-acetate","value","PCR","RVT",14,29,1.02735537661744,21.867961406075,0.315,0.99974,0.982142573060341,-0.0259956258291586,-0.501689446210399,"</br> (3S,5R,6R,6S)-6,7-Didehydro-5,6-dihydro-3,5,6-trihydroxy-13,14,20-trinor-3-oxo-beta,epsilon-caroten-19,11-olide3-acetate </br>pvalue:  0.315 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"18","(3S,5S)-Carbapenam-3-carboxylicacid","value","PCR","RVT",14,29,-1.91703095989576,26.3680001187786,0.0661,0.706602158273381,1.11122404084151,0.152149716839824,-1.17979854051436,"</br> (3S,5S)-Carbapenam-3-carboxylicacid </br>pvalue:  0.0661 </br> FDR:  0.7066",FALSE,FALSE,FALSE,FALSE
"19","(3S,6E,10E)-1,6,10,14-Phytatetraen-3-ol","value","PCR","RVT",14,29,0.208395042828269,32.9464695887055,0.836,0.99974,0.996694247594917,-0.00477709290193998,-0.0777937225609836,"</br> (3S,6E,10E)-1,6,10,14-Phytatetraen-3-ol </br>pvalue:  0.836 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"20","(3Z,6Z)-3,6-Nonadien-1-ol","value","PCR","RVT",14,29,-1.54954113373575,31.4885167596819,0.131,0.805403846153846,1.03359149716438,0.0476661068692816,-0.882728704344236,"</br> (3Z,6Z)-3,6-Nonadien-1-ol </br>pvalue:  0.131 </br> FDR:  0.8054",FALSE,FALSE,FALSE,FALSE
"21","(3b,24R,25x)-26-Benzoyloxystigmast-5-ene-3-ol","value","PCR","RVT",14,29,-0.926729478657486,40.8613468231,0.36,0.99974,1.0438242057851,0.0618787628683569,-0.443697499232713,"</br> (3b,24R,25x)-26-Benzoyloxystigmast-5-ene-3-ol </br>pvalue:  0.36 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"22","(3beta,22E,24R)-Ergosta-4,6,8(14),22-tetraen-3-ol","value","PCR","RVT",14,29,-0.0513685651375752,38.3605951984721,0.959,0.99974,1.03402440733973,0.0482702397460865,-0.0181813928293364,"</br> (3beta,22E,24R)-Ergosta-4,6,8(14),22-tetraen-3-ol </br>pvalue:  0.959 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"23","(3beta,5alpha,6beta,24R)-Stigmastane-3,5,6-triol","value","PCR","RVT",14,29,-2.00003067534275,37.1378064247784,0.0529,0.70066568627451,1.14869101469908,0.199990781004215,-1.27654432796481,"</br> (3beta,5alpha,6beta,24R)-Stigmastane-3,5,6-triol </br>pvalue:  0.0529 </br> FDR:  0.7007",FALSE,FALSE,FALSE,FALSE
"24","(3beta,5alpha,9alpha,14alpha,22E,24R)-3,5,9,14-Tetrahydroxyergosta-7,22-dien-6-one","value","PCR","RVT",14,29,-0.161671318106121,32.0887411970689,0.873,0.99974,1.02586650076269,0.036843000712198,-0.0589857562944303,"</br> (3beta,5alpha,9alpha,14alpha,22E,24R)-3,5,9,14-Tetrahydroxyergosta-7,22-dien-6-one </br>pvalue:  0.873 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"25","(3beta,5alpha,9alpha,22E,24R)-3,5,9-Trihydroxy-23-methylergosta-7,22-dien-6-one","value","PCR","RVT",14,29,-0.964134129473226,32.0586055874673,0.342,0.99974,1.07388201380996,0.102835494774212,-0.465973893943865,"</br> (3beta,5alpha,9alpha,22E,24R)-3,5,9-Trihydroxy-23-methylergosta-7,22-dien-6-one </br>pvalue:  0.342 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"26","(3beta,5alpha,9alpha,22E,24R)-5,9-Epidioxy-3-hydroxyergosta-7,22-dien-6-one","value","PCR","RVT",14,29,-0.0929637122499982,27.6583768963676,0.927,0.99974,1.00810237128406,0.0116421497948812,-0.0329202658555029,"</br> (3beta,5alpha,9alpha,22E,24R)-5,9-Epidioxy-3-hydroxyergosta-7,22-dien-6-one </br>pvalue:  0.927 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"27","(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one12-glucoside","value","PCR","RVT",14,29,-1.21375544096288,26.7774180804088,0.235,0.931041055718475,1.0458994072438,0.0647441023982303,-0.628932137728264,"</br> (4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one12-glucoside </br>pvalue:  0.235 </br> FDR:  0.931",FALSE,FALSE,FALSE,FALSE
"28","(6R)-10-Formyltetrahydropteroyldiglutamate","value","PCR","RVT",14,29,0.0356371002891029,36.0302990175367,0.972,0.99974,1.00809047103733,0.0116251192543712,-0.0123337350737254,"</br> (6R)-10-Formyltetrahydropteroyldiglutamate </br>pvalue:  0.972 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"29","(7R)-7-(4-Carboxybutanamido)cephalosporanate","value","PCR","RVT",14,29,2.199240146087,35.1780334527832,0.0345,0.591474390243902,0.958313704971379,-0.061430093913314,-1.46218090492673,"</br> (7R)-7-(4-Carboxybutanamido)cephalosporanate </br>pvalue:  0.0345 </br> FDR:  0.5915",TRUE,FALSE,FALSE,FALSE
"30","(Ac)2-L-Lys-D-Ala","value","PCR","RVT",14,29,-0.0139895888352675,27.230031531886,0.989,0.99974,1.01841293396337,0.0263226468640069,-0.0048037084028206,"</br> (Ac)2-L-Lys-D-Ala </br>pvalue:  0.989 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"31","(E)-1-[4-Hydroxy-3-(3-methyl-1,3-butadienyl)phenyl]-2-(3,5-dihydroxyphenyl)ethylene","value","PCR","RVT",14,29,-0.200752685594351,40.9712313986804,0.842,0.99974,1.91183876341239,0.934960857505909,-0.0746879085003505,"</br> (E)-1-[4-Hydroxy-3-(3-methyl-1,3-butadienyl)phenyl]-2-(3,5-dihydroxyphenyl)ethylene </br>pvalue:  0.842 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"32","(E)-2-Tridecene-4,6,8-triyn-1-ol","value","PCR","RVT",14,29,0.609521322713029,19.9639048053453,0.549,0.99974,0.985181891368817,-0.0215379849884781,-0.260427655549908,"</br> (E)-2-Tridecene-4,6,8-triyn-1-ol </br>pvalue:  0.549 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"33","(E,E)-Piperlonguminine","value","PCR","RVT",14,29,-0.567925757377529,36.9994716502325,0.574,0.99974,1.06696612950139,0.0935143789964825,-0.241088107602027,"</br> (E,E)-Piperlonguminine </br>pvalue:  0.574 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"34","(Iso)Citrate","value","PCR","RVT",14,29,-1.59740304328778,31.7765558587153,0.12,0.804166666666667,3.09408209671002,1.62951147698898,-0.920818753952375,"</br> (Iso)Citrate </br>pvalue:  0.12 </br> FDR:  0.8042",FALSE,FALSE,TRUE,FALSE
"35","(Iso)Leucine","value","PCR","RVT",14,29,-2.27464963843215,35.8482376377548,0.029,0.584816438356164,4.3743305676384,2.12906224879757,-1.53760200210104,"</br> (Iso)Leucine </br>pvalue:  0.029 </br> FDR:  0.5848",TRUE,FALSE,TRUE,TRUE
"36","(R)-2,3-Dihydroxypropane-1-sulfonate","value","PCR","RVT",14,29,0.49877150926757,17.6756350827728,0.624,0.99974,0.963060771354228,-0.0543012565641288,-0.204815410317576,"</br> (R)-2,3-Dihydroxypropane-1-sulfonate </br>pvalue:  0.624 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"37","(R)-2-Benzylsuccinate","value","PCR","RVT",14,29,0.38782473357069,21.3763614285766,0.702,0.99974,0.979751161552531,-0.0295127166591811,-0.153662887870195,"</br> (R)-2-Benzylsuccinate </br>pvalue:  0.702 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"38","(R)-2-Hydroxysterculicacid","value","PCR","RVT",14,29,0.862986285332259,38.5949675884285,0.393,0.99974,0.978872807616154,-0.0308066832122841,-0.405607449624573,"</br> (R)-2-Hydroxysterculicacid </br>pvalue:  0.393 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"39","(R)-3,4-Dihydro-2-(4,8,12-trimethyl-3,7,11-tridecatrienyl)-2H-1-benzopyran-6-ol","value","PCR","RVT",14,29,-0.374738495222216,23.5196615806534,0.711,0.99974,1.03324116012611,0.0471770208169521,-0.148130399270234,"</br> (R)-3,4-Dihydro-2-(4,8,12-trimethyl-3,7,11-tridecatrienyl)-2H-1-benzopyran-6-ol </br>pvalue:  0.711 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"40","(R)-3-Hydroxy-5-phenylpentanoicacid","value","PCR","RVT",14,29,-0.389340730546142,28.1659725248492,0.7,0.99974,1.01624054079772,0.0232419237072128,-0.154901959985743,"</br> (R)-3-Hydroxy-5-phenylpentanoicacid </br>pvalue:  0.7 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"41","(R)-3-Hydroxy-Octadecanoicacid","value","PCR","RVT",14,29,-0.737558849275686,22.0548001556052,0.469,0.99974,1.03376547365746,0.0479089241746027,-0.328827157284917,"</br> (R)-3-Hydroxy-Octadecanoicacid </br>pvalue:  0.469 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"42","(R)-Marmin","value","PCR","RVT",14,29,-0.0869560788052872,23.5228873041913,0.931,0.99974,1.00277159217946,0.00399303131805719,-0.0310503190186574,"</br> (R)-Marmin </br>pvalue:  0.931 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"43","(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate","value","PCR","RVT",14,29,-0.127866832004646,21.380598698711,0.899,0.99974,1.00135911152676,0.0019594522040544,-0.0462403082667712,"</br> (S)-2,3,4,5-Tetrahydropyridine-2-carboxylate </br>pvalue:  0.899 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"44","(S)-2,3-Dihydro-6-hydroxy-5-(hydroxyacetyl)-2-isopropenylbenzofuran","value","PCR","RVT",14,29,0.527915380762233,31.5343108163415,0.601,0.99974,0.984586879083996,-0.0224095809966652,-0.22112552799726,"</br> (S)-2,3-Dihydro-6-hydroxy-5-(hydroxyacetyl)-2-isopropenylbenzofuran </br>pvalue:  0.601 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"45","(S)-9-Hydroxy-10-undecenoicacid","value","PCR","RVT",14,29,-0.88464967494092,32.2124521721573,0.383,0.99974,1.01830060320111,0.0261635090855679,-0.416801226031377,"</br> (S)-9-Hydroxy-10-undecenoicacid </br>pvalue:  0.383 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"46","(S)-PterosinA","value","PCR","RVT",14,29,-0.257547507956834,19.0925225516144,0.8,0.99974,1.00518843860214,0.0074659829495083,-0.0969100130080564,"</br> (S)-PterosinA </br>pvalue:  0.8 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"47","(S)-VerimolF","value","PCR","RVT",14,29,-0.162726652295562,27.584735880661,0.872,0.99974,1.00741156585041,0.0106531994393422,-0.0594835150674328,"</br> (S)-VerimolF </br>pvalue:  0.872 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"48","(Z)-3-(1-Formyl-1-propenyl)pentanedioicacid; 3,6-Dihydro-4-(4-methyl-3-pentenyl)-1,2-dithiin","value","PCR","RVT",14,29,0.375687820375666,33.3570391595468,0.71,0.99974,0.99050507550825,-0.0137637271508733,-0.148741651280925,"</br> (Z)-3-(1-Formyl-1-propenyl)pentanedioicacid; 3,6-Dihydro-4-(4-methyl-3-pentenyl)-1,2-dithiin </br>pvalue:  0.71 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"49","(Z)-4-Heptenal","value","PCR","RVT",14,29,0.189365273945268,30.5509075288511,0.851,0.99974,0.995881302457873,-0.0059542949234847,-0.0700704399154121,"</br> (Z)-4-Heptenal </br>pvalue:  0.851 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"50","(Z)-9-Cycloheptadecen-1-one","value","PCR","RVT",14,29,0.899406502834867,27.9018347980626,0.376,0.99974,0.958539437177963,-0.0610903049859807,-0.424812155072339,"</br> (Z)-9-Cycloheptadecen-1-one </br>pvalue:  0.376 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"51","(Z)-[3-(Methylsulfinyl)-1-propenyl]2-propenyldisulfide","value","PCR","RVT",14,29,0.550572958392838,34.4934304189776,0.585,0.99974,0.983663986882179,-0.0237625102633921,-0.23284413391782,"</br> (Z)-[3-(Methylsulfinyl)-1-propenyl]2-propenyldisulfide </br>pvalue:  0.585 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"52","(aminomethyl)carbamicacid","value","PCR","RVT",14,29,-1.07814011803533,34.3155099057059,0.288,0.982545454545454,1.0602802505312,0.0844456446120328,-0.540607512240769,"</br> (aminomethyl)carbamicacid </br>pvalue:  0.288 </br> FDR:  0.9825",FALSE,FALSE,FALSE,FALSE
"53","({6-[(2-{[2-(3,4-dihydroxyphenyl)-7-hydroxy-5-oxo-5H-chromen-3-yl]oxy}-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl)oxy]-3,4,5-trihydroxyoxan-2-yl}methyl)[hydroxy(4-hydroxyphenyl)methylidene]oxidanium","value","PCR","RVT",14,29,0.12101843355776,30.1567377905661,0.904,0.99974,0.998315463883146,-0.00243232114405218,-0.0438315695246367,"</br> ({6-[(2-{[2-(3,4-dihydroxyphenyl)-7-hydroxy-5-oxo-5H-chromen-3-yl]oxy}-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl)oxy]-3,4,5-trihydroxyoxan-2-yl}methyl)[hydroxy(4-hydroxyphenyl)methylidene]oxidanium </br>pvalue:  0.904 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"54","(±)-3-Hydroxynonanoicacid","value","PCR","RVT",14,29,-1.11157467380518,32.2208474321477,0.275,0.962023136246787,1.02254147550499,0.0321593617898454,-0.560667306169737,"</br> (±)-3-Hydroxynonanoicacid </br>pvalue:  0.275 </br> FDR:  0.962",FALSE,FALSE,FALSE,FALSE
"55","1,1-(Tetrahydro-6a-hydroxy-2,3a,5-trimethylfuro[2,3-d]-1,3-dioxole-2,5-diyl)bis-ethanone; sn-Glycero-3-phosphocholine","value","PCR","RVT",14,29,-0.670649386816382,23.5942735807208,0.509,0.99974,1.02544675948758,0.0362525899970303,-0.293282217663241,"</br> 1,1-(Tetrahydro-6a-hydroxy-2,3a,5-trimethylfuro[2,3-d]-1,3-dioxole-2,5-diyl)bis-ethanone; sn-Glycero-3-phosphocholine </br>pvalue:  0.509 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"56","1,11-Undecanedicarboxylicacid","value","PCR","RVT",14,29,-1.32939025962084,39.5457188233169,0.191,0.868824915824916,1.03710304897326,0.0525592508111509,-0.718966632752272,"</br> 1,11-Undecanedicarboxylicacid </br>pvalue:  0.191 </br> FDR:  0.8688",FALSE,FALSE,FALSE,FALSE
"57","1,2,3-Tris(1-ethoxyethoxy)propane","value","PCR","RVT",14,29,-0.302177579130496,21.8151593523223,0.765,0.99974,1.0074160861887,0.0106596729157433,-0.116338564846382,"</br> 1,2,3-Tris(1-ethoxyethoxy)propane </br>pvalue:  0.765 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"58","1,2,4,5-Tetrathiane","value","PCR","RVT",14,29,1.26886665468731,16.7207209935509,0.222,0.908854545454545,0.912964220098123,-0.131369774106667,-0.653647025549361,"</br> 1,2,4,5-Tetrathiane </br>pvalue:  0.222 </br> FDR:  0.9089",FALSE,FALSE,FALSE,FALSE
"59","1,2,4-Nonadecanetriol","value","PCR","RVT",14,29,-1.53794516656718,40.7494674191039,0.132,0.805403846153846,1.16890204606611,0.225154037161532,-0.87942606879415,"</br> 1,2,4-Nonadecanetriol </br>pvalue:  0.132 </br> FDR:  0.8054",FALSE,FALSE,FALSE,FALSE
"60","1,2-Diacylglycerol-LD-PI-pool","value","PCR","RVT",14,29,-0.98670982182561,22.42688607243,0.334,0.99974,1.03256974983696,0.0462392386375672,-0.476253533188435,"</br> 1,2-Diacylglycerol-LD-PI-pool </br>pvalue:  0.334 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"61","1,4-Dihydroxy-2-naphthoate","value","PCR","RVT",14,29,-0.667535911879625,32.3449033423989,0.509,0.99974,1.02498796894096,0.0356069758272316,-0.293282217663241,"</br> 1,4-Dihydroxy-2-naphthoate </br>pvalue:  0.509 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"62","1,5-Dibutylmethylhydroxycitrate","value","PCR","RVT",14,29,-0.160323429393885,31.4730403456602,0.874,0.99974,1.0070571199312,0.0101455148287051,-0.058488567365597,"</br> 1,5-Dibutylmethylhydroxycitrate </br>pvalue:  0.874 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"63","1,5-Dihydroxy-3-methoxy-2-prenylxanthone","value","PCR","RVT",14,29,-0.598237249464864,38.0794623760119,0.553,0.99974,1.07921682337337,0.10998474302832,-0.257274868695302,"</br> 1,5-Dihydroxy-3-methoxy-2-prenylxanthone </br>pvalue:  0.553 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"64","1,7-Dimethylguanosine","value","PCR","RVT",14,29,-1.76761798941983,31.5894554401992,0.0868,0.771492105263158,1.10484950854977,0.143849873639542,-1.06148027482351,"</br> 1,7-Dimethylguanosine </br>pvalue:  0.0868 </br> FDR:  0.7715",FALSE,FALSE,FALSE,FALSE
"65","1,8-Diazacyclotetradecane-2,9-dione","value","PCR","RVT",14,29,0.0331043349250225,38.0881718638906,0.974,0.99974,1.01581917522669,0.022643612522107,-0.0114410431213845,"</br> 1,8-Diazacyclotetradecane-2,9-dione </br>pvalue:  0.974 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"66","1-(1-Methoxy-1-methylethyl)-4-methylbenzene","value","PCR","RVT",14,29,-0.0986495950514467,27.0649255647031,0.922,0.99974,1.05063288515627,0.0712586471432083,-0.0352690789463706,"</br> 1-(1-Methoxy-1-methylethyl)-4-methylbenzene </br>pvalue:  0.922 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"67","1-(11Z,14Z-eicosadienoyl)-glycero-3-phosphate","value","PCR","RVT",14,29,-0.58621513552561,40.9680217694634,0.561,0.99974,1.04099629621121,0.0579649356428774,-0.251037138743839,"</br> 1-(11Z,14Z-eicosadienoyl)-glycero-3-phosphate </br>pvalue:  0.561 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"68","1-(2,4,6-Trimethoxyphenyl)-1,3-butanedione","value","PCR","RVT",14,29,-0.147366624848095,21.4499726761725,0.884,0.99974,1.0034274708879,0.00493634049532131,-0.0535477349869269,"</br> 1-(2,4,6-Trimethoxyphenyl)-1,3-butanedione </br>pvalue:  0.884 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"69","1-(2,4,6-trihydroxyphenyl)-3-(3,4,5-trimethoxyphenyl)propan-1-one","value","PCR","RVT",14,29,-0.640601520135635,23.9737338730412,0.528,0.99974,1.04599794127105,0.0648800120810545,-0.277366077466188,"</br> 1-(2,4,6-trihydroxyphenyl)-3-(3,4,5-trimethoxyphenyl)propan-1-one </br>pvalue:  0.528 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"70","1-(3,4-Dimethoxyphenyl)-1,2-ethanediol1-O-b-D-glucoside","value","PCR","RVT",14,29,-0.132420963656963,22.1321098976429,0.896,0.99974,1.00315351749942,0.00454240553855854,-0.0476919903378748,"</br> 1-(3,4-Dimethoxyphenyl)-1,2-ethanediol1-O-b-D-glucoside </br>pvalue:  0.896 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"71","1-(5-Acetyl-2-hydroxyphenyl)-3-methyl-1-butanone","value","PCR","RVT",14,29,-0.722860520827827,40.6164325068931,0.474,0.99974,1.01474111252729,0.021111704441667,-0.324221658325915,"</br> 1-(5-Acetyl-2-hydroxyphenyl)-3-methyl-1-butanone </br>pvalue:  0.474 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"72","1-Acetoxy-2-hydroxy-16-heptadecen-4-one","value","PCR","RVT",14,29,-1.33022588645488,39.5878820283059,0.191,0.868824915824916,1.09821461448389,0.135160015177496,-0.718966632752272,"</br> 1-Acetoxy-2-hydroxy-16-heptadecen-4-one </br>pvalue:  0.191 </br> FDR:  0.8688",FALSE,FALSE,FALSE,FALSE
"73","1-Arachidonoylglycerophosphoinositol","value","PCR","RVT",14,29,0.769917265850517,39.7545153808319,0.446,0.99974,0.977615707079172,-0.0326606301652667,-0.350665141287858,"</br> 1-Arachidonoylglycerophosphoinositol </br>pvalue:  0.446 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"74","1-Hydroxy-3,6,7-trimethoxy-2,8-diprenylxanthone","value","PCR","RVT",14,29,0.248111955049513,24.5170142345964,0.806,0.99974,0.996122424811452,-0.00560503249923056,-0.0936649581949093,"</br> 1-Hydroxy-3,6,7-trimethoxy-2,8-diprenylxanthone </br>pvalue:  0.806 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"75","1-Hydroxyepiacorone","value","PCR","RVT",14,29,-0.119325432891527,23.6228956241884,0.906,0.99974,1.00275772806054,0.00397308476788352,-0.0428718023231869,"</br> 1-Hydroxyepiacorone </br>pvalue:  0.906 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
